input_path,original_filename,output_basename,n_kept_worms,resumed,label_feldnr,label_x,label_y,label_r4s,label_complete,label_raw_text,sample_id,label_xy_confidence,count,qr_plot,qr_spalte,qr_reihe,qr_sample_id,qr_condition,qr_text,qr_detected
malchow_project\images\IMG_0703.jpg,IMG_0703.jpg,IMG-0703__qr-NOQR__9f5d2cfb,173,True,6.0,1.0,10.0,521.0,True,FeldNr:6 | Ras | X=1;y =10,521.0,high,173,6.0,1.0,10.0,521.0,R4S,FeldNr:6 | Ras | X=1;y =10,True
malchow_project\images\IMG_0706.jpg,IMG_0706.jpg,IMG-0706__qr-NOQR__b2fc915e,182,True,7.0,1.0,11.0,406.0,True,FeldNc 7 | X=1;y =11 | Ras,406.0,high,182,7.0,1.0,11.0,406.0,R4S,FeldNc 7 | X=1;y =11 | Ras,True
malchow_project\images\IMG_0707.jpg,IMG_0707.jpg,IMG-0707__qr-NOQR__697ccfa4,189,True,7.0,1.0,11.0,406.0,True,FeldNr: 7 | Xa;y=1 | R4s,406.0,high,189,7.0,1.0,11.0,406.0,R4S,FeldNr: 7 | Xa;y=1 | R4s,True
malchow_project\images\IMG_0709.jpg,IMG_0709.jpg,IMG-0709__qr-NOQR__4a41ef7f,188,True,8.0,1.0,12.0,427.0,False,FeldNr: 8 | Xet;y = 12 | R4s,427.0,high,188,8.0,1.0,12.0,427.0,R4S,FeldNr: 8 | Xet;y = 12 | R4s,False
malchow_project\images\IMG_0710.jpg,IMG_0710.jpg,IMG-0710__qr-NOQR__4abdfed0,202,True,8.0,1.0,12.0,427.0,False,FeldNr: 8 | Xet;y=12 | R4s,427.0,high,202,8.0,1.0,12.0,427.0,R4S,FeldNr: 8 | Xet;y=12 | R4s,False
malchow_project\images\IMG_0712.jpg,IMG_0712.jpg,IMG-0712__qr-NOQR__3010000f,167,True,,1.0,13.0,209.0,True,FeleNrt9 | Ras | x=1;y =13,209.0,med,167,,1.0,13.0,209.0,R4S,FeleNrt9 | Ras | x=1;y =13,True
malchow_project\images\IMG_0713.jpg,IMG_0713.jpg,IMG-0713__qr-NOQR__ed549824,166,True,,1.0,13.0,209.0,True,FelleNte9 | Ras | x = 1;y = 13,209.0,med,166,,1.0,13.0,209.0,R4S,FelleNte9 | Ras | x = 1;y = 13,True
malchow_project\images\IMG_0715.jpg,IMG_0715.jpg,IMG-0715__qr-NOQR__1515f404,63,True,,1.0,14.0,442.0,True,Rele Na | R4s | x= 1;y =14,442.0,high,63,,1.0,14.0,442.0,R4S,Rele Na | R4s | x= 1;y =14,True
malchow_project\images\IMG_0716.jpg,IMG_0716.jpg,IMG-0716__qr-NOQR__b3e06b72,61,True,,1.0,14.0,442.0,True,FeleNete | R4s | X= 1;y =14,442.0,high,61,,1.0,14.0,442.0,R4S,FeleNete | R4s | X= 1;y =14,True
malchow_project\images\IMG_0718.jpg,IMG_0718.jpg,IMG-0718__qr-NOQR__b1e4cedc,174,True,,,15.0,386.0,False,FelaNr:T1 | Ket;y= 15 | Ras,386.0,low,174,,,15.0,386.0,R4S,FelaNr:T1 | Ket;y= 15 | Ras,False
malchow_project\images\IMG_0719.jpg,IMG_0719.jpg,IMG-0719__qr-NOQR__4cd3d5bb,175,True,4.0,,15.0,,False,FeleNrd | P | Xe;y=15,,,175,4.0,,15.0,,R4S,FeleNrd | P | Xe;y=15,False
malchow_project\images\IMG_0721.jpg,IMG_0721.jpg,IMG-0721__qr-NOQR__6247f5a4,411,True,,1.0,16.0,437.0,True,FeldNr | Ras | X=1;y = 16,437.0,high,411,,1.0,16.0,437.0,R4S,FeldNr | Ras | X=1;y = 16,True
malchow_project\images\IMG_0723.jpg,IMG_0723.jpg,IMG-0723__qr-NOQR__0518f390,400,True,412.0,1.0,16.0,437.0,False,FeldNr:412 | Ras | Xet;y= 16,437.0,high,400,412.0,1.0,16.0,437.0,R4S,FeldNr:412 | Ras | Xet;y= 16,False
malchow_project\images\IMG_0725.jpg,IMG_0725.jpg,IMG-0725__qr-NOQR__c00fa07b,112,True,13.0,1.0,17.0,,False,eleNr8 | R | Ket;ye 17,,,112,13.0,1.0,17.0,,R4S,eleNr8 | R | Ket;ye 17,False
